,film,URL,year,rating,votes
59,"The Good, the Bad and the Ugly",https://www.imdb.com//title/tt0060196/?ref_=adv_li_tt,(1966),8.8,760486
60,Day Shift,https://www.imdb.com//title/tt13314558/?ref_=adv_li_tt,(2022),6.1,74730
61,Hell or High Water,https://www.imdb.com//title/tt2582782/?ref_=adv_li_tt,(II) (2016),7.6,232335
62,Y tu mamá también,https://www.imdb.com//title/tt0245574/?ref_=adv_li_tt,(2001),7.7,123878
63,Sin City,https://www.imdb.com//title/tt0401792/?ref_=adv_li_tt,(2005),8.0,770290
64,Snowpiercer,https://www.imdb.com//title/tt1706620/?ref_=adv_li_tt,(2013),7.1,362514
65,A Serbian Film,https://www.imdb.com//title/tt1273235/?ref_=adv_li_tt,(2010),5.0,65338
66,Rocky,https://www.imdb.com//title/tt0075148/?ref_=adv_li_tt,(1976),8.1,576171
67,Napoleon Dynamite,https://www.imdb.com//title/tt0374900/?ref_=adv_li_tt,(2004),6.9,221741
68,Interstate 60: Episodes of the Road,https://www.imdb.com//title/tt0165832/?ref_=adv_li_tt,(2002),7.6,33569
69,Irreversible,https://www.imdb.com//title/tt0290673/?ref_=adv_li_tt,(2002),7.3,136321
70,Secretary,https://www.imdb.com//title/tt0274812/?ref_=adv_li_tt,(2002),6.9,92343
71,Sicario,https://www.imdb.com//title/tt3397884/?ref_=adv_li_tt,(2015),7.6,430643
72,Amadeus,https://www.imdb.com//title/tt0086879/?ref_=adv_li_tt,(1984),8.4,401676
73,Scream,https://www.imdb.com//title/tt0117571/?ref_=adv_li_tt,(1996),7.4,345012
74,Knock Knock,https://www.imdb.com//title/tt3605418/?ref_=adv_li_tt,(I) (2015),4.9,96012
75,Ex Machina,https://www.imdb.com//title/tt0470752/?ref_=adv_li_tt,(2014),7.7,546086
76,RoboCop,https://www.imdb.com//title/tt0093870/?ref_=adv_li_tt,(1987),7.6,260555
77,Fargo,https://www.imdb.com//title/tt0116282/?ref_=adv_li_tt,(1996),8.1,678250
78,The Mask,https://www.imdb.com//title/tt0110475/?ref_=adv_li_tt,(1994),6.9,387994
79,Training Day,https://www.imdb.com//title/tt0139654/?ref_=adv_li_tt,(2001),7.7,438042
80,The Sword and the Sorcerer,https://www.imdb.com//title/tt0084749/?ref_=adv_li_tt,(1982),5.4,6687
81,Blacklight,https://www.imdb.com//title/tt14060094/?ref_=adv_li_tt,(2022),4.8,18298
82,Mile 22,https://www.imdb.com//title/tt4560436/?ref_=adv_li_tt,(2018),6.1,80700
83,Trainspotting,https://www.imdb.com//title/tt0117951/?ref_=adv_li_tt,(1996),8.1,687482
84,Cyborg,https://www.imdb.com//title/tt0097138/?ref_=adv_li_tt,(1989),5.0,31951
85,Scary Movie,https://www.imdb.com//title/tt0175142/?ref_=adv_li_tt,(2000),6.2,263404
86,Dances with Wolves,https://www.imdb.com//title/tt0099348/?ref_=adv_li_tt,(1990),8.0,266594
87,Under the Skin,https://www.imdb.com//title/tt1441395/?ref_=adv_li_tt,(I) (2013),6.3,145452
88,Molly's Game,https://www.imdb.com//title/tt4209788/?ref_=adv_li_tt,(2017),7.4,173563
89,Closer,https://www.imdb.com//title/tt0376541/?ref_=adv_li_tt,(I) (2004),7.2,220806
90,Athena,https://www.imdb.com//title/tt15445056/?ref_=adv_li_tt,(2022),6.8,13414
91,Margin Call,https://www.imdb.com//title/tt1615147/?ref_=adv_li_tt,(2011),7.1,133202
92,Psycho,https://www.imdb.com//title/tt0054215/?ref_=adv_li_tt,(1960),8.5,671468
93,Dual,https://www.imdb.com//title/tt9005184/?ref_=adv_li_tt,(2022),5.8,8574
94,Cannibal Holocaust,https://www.imdb.com//title/tt0078935/?ref_=adv_li_tt,(1980),5.8,56568
95,Lost in Translation,https://www.imdb.com//title/tt0335266/?ref_=adv_li_tt,(2003),7.7,456246
96,Polar,https://www.imdb.com//title/tt4139588/?ref_=adv_li_tt,(I) (2019),6.3,90991
97,Into the Wild,https://www.imdb.com//title/tt0758758/?ref_=adv_li_tt,(2007),8.1,623796
98,Dirty Dancing,https://www.imdb.com//title/tt0092890/?ref_=adv_li_tt,(I) (1987),7.0,234061
99,Total Recall,https://www.imdb.com//title/tt0100802/?ref_=adv_li_tt,(1990),7.5,332631
